City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,puerto deseado,-47.7503,-65.8938,6.68,55,23,5.8,AR,1727878658
205,puerto armuelles,8.2833,-82.8667,23.94,92,97,1.79,PA,1727878659
206,ciudad rodrigo,40.6,-6.5333,19.36,80,100,5.72,ES,1727878660
207,sirte,31.2089,16.5887,27.64,46,0,3.83,LY,1727878661
208,malabar,-33.9667,151.25,15.84,83,100,2.57,AU,1727878455
209,thinadhoo,0.5333,72.9333,29.13,70,63,3.67,MV,1727878663
210,benguela,-12.5763,13.4055,25.23,73,44,4.52,AO,1727878664
211,peshkopi,41.685,20.4289,21.64,43,10,2.2,AL,1727878665
212,fauske,67.2588,15.3918,7.75,84,49,0.34,NO,1727878666
213,bel ombre,-4.6167,55.4167,27.91,74,75,2.57,SC,1727878667
214,shubarshi,48.5872,57.1869,18.29,30,9,6.97,KZ,1727878668
215,griffith,41.5284,-87.4237,15.29,59,0,3.09,US,1727878670
216,harstad,68.799,16.5293,5.09,93,78,4.92,NO,1727878671
217,tralee,52.2704,-9.7026,15.14,77,100,4.12,IE,1727878672
218,kzyltu,53.6364,72.3414,7.38,38,0,3.92,KZ,1727878673
219,luena,-11.7833,19.9167,32.13,24,64,3.28,AO,1727878674
220,malabo,3.75,8.7833,26.9,82,100,5.24,GQ,1727878675
221,turochak,52.2576,87.1224,9.62,89,100,1.72,RU,1727878676
222,tucurui,-3.7661,-49.6725,35.0,41,67,2.16,BR,1727878677
223,nemuro,43.3236,145.575,15.89,87,100,5.96,JP,1727878529
224,eraan,9.0629,117.7016,26.92,87,100,1.39,PH,1727878408
225,talnakh,69.4865,88.3972,2.11,83,100,2.0,RU,1727878680
226,chamical,-30.36,-66.314,19.39,22,0,3.03,AR,1727878409
227,garden city,42.3256,-83.331,15.09,75,75,1.54,US,1727878682
228,kaspiyskiy,45.3929,47.3707,15.27,69,100,5.69,RU,1727878683
229,antalaha,-14.9003,50.2788,24.93,72,57,5.75,MG,1727878673
230,fedorovskiy,45.0972,40.9517,12.73,72,100,4.47,RU,1727878686
231,kentville,45.0835,-64.4988,14.43,70,0,2.06,CA,1727878687
232,nioki,-2.7167,17.6833,26.33,75,84,1.4,CD,1727878688
233,chalatenango,14.0333,-88.9333,21.63,96,100,0.35,SV,1727878689
234,pocatello,42.8713,-112.4455,11.05,43,9,4.92,US,1727878552
235,newman,37.3138,-121.0208,22.92,20,0,1.62,US,1727878691
236,enewetak,11.3474,162.3373,29.12,75,99,6.8,MH,1727878693
237,recani,31.2846,-4.2688,33.03,20,0,0.86,MA,1727878694
238,oshakati,-17.7833,15.6833,35.61,7,0,3.84,NA,1727878695
239,narayanavanam,13.4167,79.5833,33.88,71,98,3.03,IN,1727878696
240,mastung,29.7994,66.845,24.97,19,0,7.12,PK,1727878697
241,glace bay,46.1969,-59.957,13.87,77,75,7.72,CA,1727878698
242,wuyang,31.9925,116.2472,15.02,40,100,2.88,CN,1727878699
243,langsa,4.4683,97.9683,25.12,91,100,0.81,ID,1727878700
244,aasiaat,68.7098,-52.8699,1.92,77,100,5.28,GL,1727878701
245,urzhar,47.093,81.6294,14.71,27,4,2.1,KZ,1727878702
246,gisborne,-38.6533,178.0042,15.14,79,96,6.37,NZ,1727878703
247,priladozhskiy,59.85,31.4833,12.1,67,100,1.55,RU,1727878704
248,vega de alatorre,20.0333,-96.6333,22.14,86,100,10.14,MX,1727878705
249,alice springs,-23.7,133.8833,19.75,24,19,4.63,AU,1727878707
250,mahavelona,-17.6848,49.5087,24.56,70,0,2.93,MG,1727878708
251,makokou,0.5738,12.8642,26.79,79,100,1.21,GA,1727878709
252,gokwe,-18.2048,28.9349,27.35,34,96,5.88,ZW,1727878710
253,chinde,26.8212,87.7095,24.15,92,100,0.8,NP,1727878711
254,sumenep,-7.0167,113.8667,27.46,73,47,3.99,ID,1727878712
255,sakata,38.9167,139.855,17.68,78,100,1.6,JP,1727878713
